dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,total_runtime_sec,n_cohorts
adult,tabular,ulsif,2.45,0.71,0.18,37.32,41.85,49
amazon,text,ulsif,0.0,,,0.0,0.59,3
bace,molecular,ulsif,0.31,0.74,0.08,0.61,14.29,127
bank,tabular,ulsif,0.0,0.65,0.27,53.51,3.89,10
bbbp,molecular,ulsif,0.63,0.84,0.43,1.79,27.54,127
civil_comments,text,ulsif,0.0,0.49,0.44,799.4,0.86,5
clintox,molecular,ulsif,0.73,0.99,0.29,1.4,9.93,110
compas,tabular,ulsif,8.42,0.96,0.3,15.17,4261.05,38
diabetes,tabular,ulsif,0.0,0.71,0.0,7.96,0.05,4
esol,molecular,ulsif,6.67,0.76,0.61,24.39,0.29,6
freesolv,molecular,ulsif,26.67,1.0,0.81,15.12,0.07,3
german_credit,tabular,ulsif,0.0,0.42,0.0,2.32,0.42,14
heart_disease,tabular,ulsif,0.0,0.94,0.0,1.73,0.08,8
imdb,text,ulsif,60.0,0.6,0.59,538.44,233.26,10
lipophilicity,molecular,ulsif,0.0,0.93,0.03,0.18,211.82,459
molhiv,molecular,ulsif,0.0,0.47,0.0,0.01,14208.06,2323
muv,molecular,ulsif,0.0,,,0.0,6746.29,1688
sider,molecular,ulsif,0.0,0.64,0.0,0.32,12.16,135
student_performance,tabular,ulsif,18.18,0.94,0.37,15.18,0.46,11
tox21,molecular,ulsif,0.75,1.0,0.6,0.43,25.16,53
toxcast,molecular,ulsif,3.81,1.0,0.9,4.05,1.78,21
twitter,text,ulsif,0.0,0.48,0.34,200.0,1.93,10
yelp,text,ulsif,62.0,0.84,0.77,424.79,270.9,10
